Designator,Mid X,Mid Y,Rotation,Layer
C1,163.374875,-55.659438,180,top
C14,155.306875,-67.179438,270,top
C15,159.818875,-62.898438,0,top
C16,91.746875,-78.773438,270,top
C17,139.106875,-64.879438,180,top
C18,102.076875,-92.719438,0,top
C19,155.706875,-62.179438,0,top
C20,139.106875,-65.979438,180,top
C21,141.406875,-61.179438,180,top
C22,155.706875,-63.379438,0,top
C23,141.406875,-60.179438,180,top
C24,140.906875,-71.429438,270,top
C25,155.754875,-71.153438,270,top
C26,144.206875,-58.707438,90,top
C27,151.63,-56.94,0,top
C28,143.006875,-58.580438,90,top
C29,91.746875,-81.849438,90,top
C3,169.724875,-60.419438,90,top
C30,128.957875,-63.533438,90,top
C31,132.005875,-70.264438,270,top
C32,140.97,-85.344,90,top
C4,188.774875,-104.427438,180,top
C5,183.186875,-119.413438,180,top
C6,106.906875,-67.679438,180,top
C7,118.406875,-62.429438,270,top
C8,97.588875,-73.679438,90,top
D1,98.866875,-93.671938,270,top
D2,117.406875,-90.689438,180,top
D5,145.340875,-53.881438,180,top
F1,114.406875,-56.679438,0,top
J2_2,147.626875,-100.823438,180,bottom
J4_2,181.662875,-107.221438,180,bottom
J9,94.146875,-102.569438,0,top
Q1,114.906875,-60.179438,0,top
Q2,110.106875,-58.779438,90,top
Q3,119.196875,-57.929438,90,top
R1,124.512875,-77.179438,270,top
R10,128.512875,-75.479438,0,top
R11,129.592875,-54.389438,180,top
R12,129.592875,-55.913438,180,top
R13,106.986875,-58.707438,90,top
R14,129.592875,-57.691438,0,top
R15,130.354875,-51.849438,270,top
R16,131.406875,-63.179438,90,top
R17,99.426875,-102.959438,90,top
R18,155.706875,-64.579438,0,top
R19,128.512875,-76.679438,0,top
R2,125.012875,-75.479438,180,top
R20,141.406875,-63.179438,0,top
R21,141.406875,-62.179438,0,top
R24,128.512875,-77.879438,0,top
R25,128.512875,-79.079438,0,top
R3,192.724875,-104.427438,0,top
R4,187.136875,-119.413438,0,top
R5,110.819375,-67.679438,0,top
R6,97.588875,-77.679438,270,top
R7,126.762875,-75.979438,90,top
R8,126.762875,-78.079438,90,top
R9,125.462875,-79.679438,90,top
S1,135.906875,-57.341938,270,top
U2,142.800875,-90.203438,0,top
U1,124.606875,-65.979438,270,top
U10,188.466397,-114.924301,180,top
U11,197.434127,-106.189462,90,top
U12,98.666875,-98.829438,0,top
U13,141.530875,-53.627438,180,top
U3,114.366875,-75.849688,0,top
U4,105.648203,-84.569438,270,top
U6,92.666875,-94.519438,180,top
U7,135.406875,-73.179438,0,top
U8,148.406875,-64.179438,90,top
Y1,159.306875,-65.829438,180,top
